idMaintenace;dateMaintenace;issuesFound;workDescription;idUser;idMachine;;;;
1;2024-09-13 16:44:04;Зависла сессия оплаты;Замена дисплея;7a051229-40bb-443e-80b8-024cb239f52b;a977e322-192c-4567-9f5f-36f504bfc13d;;;;
2;2024-04-25 06:59:09;Проблемы с термобумагой;Чистка внутренних узлов;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
3;2024-07-12 19:03:57;Проблемы с термобумагой;Ремонт купюроприемника;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
4;2024-04-25 17:14:31;Не закрывается люк обслуживания;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;0a9a91bf-0fcc-44ac-b3c2-88a33411413a;;;;
5;2024-06-24 21:04:11;Не закрывается люк обслуживания;Замена модема;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
6;2025-01-01 12:19:46;Зависла сессия оплаты;Загрузка новой товарной матрицы;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
7;2024-08-10 13:05:26;Не закрывается люк обслуживания;Пополнение товара;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
8;2024-05-24 17:35:03;Ошибка дисплея;Замена дисплея;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
9;2025-03-11 03:33:16;Протечка в отсеке с напитками;Настройка сетевого соединения;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
10;2025-02-15 15:55:12;Сбой системы оплаты;Чистка внутренних узлов;c59a07db-17d1-4769-9d5c-19c0ab4d435c;dc92a945-80cf-4c86-8927-97026c6e82da;;;;
11;2024-04-22 10:03:38;Зависла сессия оплаты;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
12;2024-12-24 11:06:11;;Проверка телеметрии;c59a07db-17d1-4769-9d5c-19c0ab4d435c;7ed68dd4-ef8b-4124-9084-bc16ee8f10d3;;;;
13;2024-10-04 10:54:29;Зависла сессия оплаты;Замена дисплея;7a051229-40bb-443e-80b8-024cb239f52b;166c8a3f-a211-4d25-b2d4-a5b0b5f067d5;;;;
14;2025-02-12 12:21:02;Не работает модем;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;89c05e76-6b7e-4d72-b97c-62ecb96b1370;;;;
15;2024-06-12 06:45:32;Зависла сессия оплаты;Настройка сетевого соединения;ec90762d-3e3d-413a-b8c5-b86c93ddb52f;53e2ec2e-d407-4e9a-a1d9-5a9501e81ede;;;;
16;2024-08-06 11:59:47;Не работает модем;Перезагрузка системы;7a051229-40bb-443e-80b8-024cb239f52b;e1d62e6a-5427-4dda-8209-bb584bfbc9e5;;;;
17;2024-12-19 05:04:37;;Замена модема;c59a07db-17d1-4769-9d5c-19c0ab4d435c;4daae871-71ac-44da-8b58-dcf1a2ae907a;;;;
18;2024-11-23 03:36:54;Протечка в отсеке с напитками;Обновление программного обеспечения;7a051229-40bb-443e-80b8-024cb239f52b;70f22c9f-de0a-41a9-9a53-cabf42688d47;;;;
